usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,"[[""0.306"",""0.487"",""0.817"",""0.939""],[""0.256"",""0.524"",""0.860"",""0.900""]]","[[""0.087"",""0.205"",""0.438"",""0.769""],[""0.034"",""0.356"",""0.619"",""0.681""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Foxhole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,19.7028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,23.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,25.1785,space,6.2986,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,9.0002,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,23.8182,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,6.8327,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,2.8345,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,7.9394,l,1,5.0501,"[""0.034"",""0.356"",""0.619"",""0.125""]","[1,1,1,0]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5a9b20c535237b0001129820,627c6f200eb3f1ceba2920d2,2022-05-12_05h21.47.099,classification_task,2021.2.3,Win32,60.03121623,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.951,"[""0.087"",""0.558"",""0.438"",""0.769""]","[1,0,1,1]",0,1,1,1,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
