usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,"[[""0.227"",""0.565"",""0.847"",""0.929""],[""0.272"",""0.466"",""0.882"",""0.975""]]","[[""0.097"",""0.191"",""0.506"",""0.807""],[""0.147"",""0.323"",""0.648"",""0.739""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Dark Souls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,Do you have any form of color blindness?,,,0.7,0,No,25.5948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,36.7809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,space,27.3682,space,6.1712,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,space,4.8787,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,space,9.1502,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,space,12.0037,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,space,116.6005,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,space,215.2937,a,0,3.1658,"[""0.147"",""0.688"",""0.648"",""0.739""]","[1,0,1,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,0,5.1781,"[""0.227"",""0.565"",""0.847"",""0.058""]","[1,1,1,0]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,0,5.2849,"[""0.097"",""0.036"",""0.506"",""0.807""]","[1,0,1,1]",0,2,2,2,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,3.3481,"[""0.701"",""0.466"",""0.882"",""0.975""]","[0,1,1,1]",0,3,3,3,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,1,4.0693,"[""0.097"",""0.191"",""0.506"",""0.396""]","[1,1,1,0]",0,4,4,4,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,3.8937,"[""0.272"",""0.384"",""0.882"",""0.975""]","[1,0,1,1]",0,5,5,5,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,1.9102,"[""0.272"",""0.466"",""0.358"",""0.975""]","[1,1,0,1]",0,6,6,6,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,3.4303,"[""0.272"",""0.466"",""0.882"",""0.430""]","[1,1,1,0]",0,7,7,7,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,1,2.0607,"[""0.358"",""0.323"",""0.648"",""0.739""]","[0,1,1,1]",0,8,8,8,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,0,4.3482,"[""0.358"",""0.565"",""0.847"",""0.929""]","[0,1,1,1]",0,9,9,9,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,1,2.4092,"[""0.147"",""0.323"",""0.384"",""0.739""]","[1,1,0,1]",0,10,10,10,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,3.0593,"[""0.227"",""0.565"",""0.372"",""0.929""]","[1,1,0,1]",0,11,11,11,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6008,"[""0.423"",""0.191"",""0.506"",""0.807""]","[0,1,1,1]",0,12,12,12,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1299,"[""0.227"",""0.384"",""0.847"",""0.929""]","[1,0,1,1]",0,13,13,13,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,1,0.9827,"[""0.097"",""0.191"",""0.384"",""0.807""]","[1,1,0,1]",0,14,14,14,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,0,3.5604,"[""0.147"",""0.323"",""0.648"",""0.048""]","[1,1,1,0]",0,15,15,15,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,6.6498,"[""0.048"",""0.466"",""0.882"",""0.975""]","[0,1,1,1]",0,16,16,16,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,1.6888,"[""0.227"",""0.565"",""0.058"",""0.929""]","[1,1,0,1]",0,17,17,17,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,1,2.1522,"[""0.097"",""0.191"",""0.036"",""0.807""]","[1,1,0,1]",0,18,18,18,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,1.5248,"[""0.272"",""0.466"",""0.374"",""0.975""]","[1,1,0,1]",0,19,19,19,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,4.6627,"[""0.227"",""0.565"",""0.847"",""0.423""]","[1,1,1,0]",0,20,20,20,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,a,1,3.6581,"[""0.272"",""0.058"",""0.882"",""0.975""]","[1,0,1,1]",0,21,21,21,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5b3a48e8b6b4410001613060,001,2022-04-29_03h33.53.658,classification_task,2021.2.3,Win32,164.9892757,5b3a48e8b6b4410001613060,626b377229c10585ec392f89,626b4e1360fbb07b480ed873,,,,,,,,,,,,,,,,,,,,,,,l,1,1.9788,"[""0.361"",""0.191"",""0.506"",""0.807""]","[0,1,1,1]",0,22,22,22,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
