usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,"[[""0.251"",""0.461"",""0.886"",""0.929""],[""0.290"",""0.344"",""0.583"",""0.966""]]","[[""0.095"",""0.418"",""0.534"",""0.704""],[""0.059"",""0.153"",""0.618"",""0.836""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Candy Crush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,Do you have any form of color blindness?,,,0.7,0,No,73.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,76.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,,,,,,,,space,83.722,space,11.065,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,,,,,,,,,,space,11.221,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5bc94b874f22df00010e83f9,001,2022-04-28_19h15.31.144,classification_task,2021.2.3,MacIntel,62.5,5bc94b874f22df00010e83f9,626b377229c10585ec392f8a,626b3c159079a17f55d215eb,,,,,,,,,,,,,,space,52.692,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
