usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,"[[""0.197"",""0.524"",""0.829"",""0.935""],[""0.161"",""0.467"",""0.898"",""0.975""]]","[[""0.126"",""0.312"",""0.618"",""0.737""],[""0.036"",""0.267"",""0.584"",""0.794""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Sonic Unleashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,Do you have any form of color blindness?,,,0.7,0,No,14.4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,15.5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,,,,,,,,space,13.4295,space,3.8633,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,,,,,,,,,,space,6.7809,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5be0d2374579d00001ad8d6d,001,2022-04-28_20h14.02.634,classification_task,2021.2.3,Win32,60.06006006,5be0d2374579d00001ad8d6d,626b377229c10585ec392f8a,626b3bbacd2dc8cbf2e4efc2,,,,,,,,,,,,,,space,20.0975,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
