usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,"[[""0.219"",""0.439"",""0.818"",""0.879""],[""0.256"",""0.483"",""0.629"",""0.930""]]","[[""0.032"",""0.377"",""0.593"",""0.718""],[""0.102"",""0.308"",""0.532"",""0.770""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Guns of Glory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,72.3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,85.0266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,34.6542,space,12.7318,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,19.9012,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c10e5c5753adc0001590f2c,627c762cc3fcb86d28b2f542,2022-05-12_04h51.59.201,classification_task,2021.2.3,Win32,59.85873339,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,37.7577,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
