usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,"[[""0.163"",""0.424"",""0.882"",""0.923""],[""0.319"",""0.381"",""0.845"",""0.974""]]","[[""0.129"",""0.214"",""0.498"",""0.810""],[""0.049"",""0.085"",""0.554"",""0.776""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,League of Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,19.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,22.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,28.7922,space,8.7843,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,8.2716,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,23.4382,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,15.5153,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,11.0609,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,11.8395,l,1,2.8256,"[""0.049"",""0.085"",""0.554"",""0.709""]","[1,1,1,0]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.3167,"[""0.049"",""0.710"",""0.554"",""0.776""]","[1,0,1,1]",0,1,1,1,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5c4e36a07065de00011f7a6d,627c6974f0656182f5c56abc,2022-05-12_02h57.20.022,classification_task,2021.2.3,Win32,143.9884809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.2085,"[""0.163"",""0.424"",""0.882"",""0.616""]","[1,1,1,0]",0,2,2,2,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
