usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,"[[""0.277"",""0.391"",""0.906"",""0.973""],[""0.241"",""0.561"",""0.840"",""0.940""]]","[[""0.128"",""0.196"",""0.442"",""0.789""],[""0.047"",""0.337"",""0.606"",""0.715""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Overwatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,17.0913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,20.0981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,31.9865,space,7.3162,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,7.5018,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.1553,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ca65510a0b6540012283c32,627c6ef9d7a94c73bd2000e1,2022-05-12_04h21.39.574,classification_task,2021.2.3,Win32,60.14675809,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,42.9034,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
