usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,"[[""0.263"",""0.534"",""0.654"",""0.854""],[""0.207"",""0.416"",""0.895"",""0.940""]]","[[""0.095"",""0.302"",""0.575"",""0.713""],[""0.028"",""0.168"",""0.491"",""0.765""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Mario Kart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,19.3805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,21.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,47.2423,space,9.914400002,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,7.7836,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.7064,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,19.0169,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,15.4016,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,14.2674,a,1,5.1154,"[""0.207"",""0.416"",""0.895"",""0.357""]","[1,1,1,0]",0,0,0,0,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,5.627900002,"[""0.207"",""0.350"",""0.895"",""0.940""]","[1,0,1,1]",0,1,1,1,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.3765,"[""0.028"",""0.454"",""0.491"",""0.765""]","[1,0,1,1]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.279799999,"[""0.028"",""0.168"",""0.131"",""0.765""]","[1,1,0,1]",0,3,3,3,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,6.5506,"[""0.341"",""0.416"",""0.895"",""0.940""]","[0,1,1,1]",0,4,4,4,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,7.8934,"[""0.263"",""0.340"",""0.654"",""0.854""]","[1,0,1,1]",0,5,5,5,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,4.8334,"[""0.263"",""0.534"",""0.654"",""0.368""]","[1,1,1,0]",0,6,6,6,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.759299999,"[""0.350"",""0.302"",""0.575"",""0.713""]","[0,1,1,1]",0,7,7,7,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.794,"[""0.028"",""0.168"",""0.491"",""0.372""]","[1,1,1,0]",0,8,8,8,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,4.0114,"[""0.263"",""0.534"",""0.350"",""0.854""]","[1,1,0,1]",0,9,9,9,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,2.7519,"[""0.207"",""0.416"",""0.340"",""0.940""]","[1,1,0,1]",0,10,10,10,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.2064,"[""0.095"",""0.302"",""0.612"",""0.713""]","[1,1,0,1]",0,11,11,11,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d3658b84f14c3001641516a,627c7036e6be26d9e4eede1c,2022-05-12_14h26.44.194,classification_task,2021.2.3,Win32,30.01560812,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,3.031,"[""0.095"",""0.804"",""0.575"",""0.713""]","[1,0,1,1]",0,12,12,12,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
