usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,"[[""0.167"",""0.366"",""0.602"",""0.955""],[""0.321"",""0.445"",""0.845"",""0.885""]]","[[""0.108"",""0.410"",""0.494"",""0.732""],[""0.060"",""0.241"",""0.543"",""0.783""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Cities Skylines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,30.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,35.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,32.743,space,6.699,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,6.266,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,14.373,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,15.621,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,14.883,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,17.478,a,1,7.203,"[""0.321"",""0.678"",""0.845"",""0.885""]","[1,0,1,1]",0,0,0,0,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.742,"[""0.321"",""0.445"",""0.697"",""0.885""]","[1,1,0,1]",0,1,1,1,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.9,"[""0.108"",""0.410"",""0.494"",""0.678""]","[1,1,1,0]",0,2,2,2,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.305,"[""0.285"",""0.410"",""0.494"",""0.732""]","[0,1,1,1]",0,3,3,3,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.478,"[""0.673"",""0.445"",""0.845"",""0.885""]","[0,1,1,1]",0,4,4,4,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d67fe2073cd1d001a611229,627c6ed8180400602c21953b,2022-05-11_22h20.45.554,classification_task,2021.2.3,Win32,59.95203837,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.267,"[""0.108"",""0.653"",""0.494"",""0.732""]","[1,0,1,1]",0,5,5,5,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
