usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,"[[""0.208"",""0.453"",""0.900"",""0.944""],[""0.255"",""0.528"",""0.672"",""0.865""]]","[[""0.045"",""0.298"",""0.587"",""0.794""],[""0.101"",""0.417"",""0.625"",""0.831""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,War Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,27.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,24.0792,space,9.835,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,6.4204,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,27.3102,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,7.4859,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,13.6688,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,13.227,a,1,4.7566,"[""0.208"",""0.453"",""0.166"",""0.944""]","[1,1,0,1]",0,0,0,0,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.8688,"[""0.145"",""0.453"",""0.900"",""0.944""]","[0,1,1,1]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.4166,"[""0.101"",""0.417"",""0.625"",""0.714""]","[1,1,1,0]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.208"",""0.135"",""0.900"",""0.944""]","[1,0,1,1]",0,3,3,3,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.6633,"[""0.101"",""0.366"",""0.625"",""0.831""]","[1,0,1,1]",0,4,4,4,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.936,"[""0.045"",""0.366"",""0.587"",""0.794""]","[1,0,1,1]",0,5,5,5,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.714"",""0.417"",""0.625"",""0.831""]","[0,1,1,1]",0,6,6,6,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,7.1892,"[""0.729"",""0.298"",""0.587"",""0.794""]","[0,1,1,1]",0,7,7,7,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.743,"[""0.717"",""0.528"",""0.672"",""0.865""]","[0,1,1,1]",0,8,8,8,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5d7513fbad0dbc00010f8fa8,627c7471b5d79924877b2a07,2022-05-11_21h44.38.369,classification_task,2021.2.3,MacIntel,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,7.795,"[""0.255"",""0.163"",""0.672"",""0.865""]","[1,0,1,1]",0,9,9,9,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
