usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,"[[""0.178"",""0.509"",""0.901"",""0.955""],[""0.221"",""0.472"",""0.608"",""0.852""]]","[[""0.138"",""0.355"",""0.544"",""0.712""],[""0.071"",""0.286"",""0.670"",""0.800""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,pubg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,Do you have any form of color blindness?,,,0.7,0,No,7.5767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,8.6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,space,10.0918,space,23.1697,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,space,27.5871,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,space,82.1946,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,space,27.5856,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,space,8.8965,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,space,68.8553,l,1,4.8631,"[""0.071"",""0.286"",""0.031"",""0.800""]","[1,1,0,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,l,1,6.5017,"[""0.031"",""0.355"",""0.544"",""0.712""]","[0,1,1,1]",0,1,1,1,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,l,1,3.7581,"[""0.071"",""0.418"",""0.670"",""0.800""]","[1,0,1,1]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,l,1,3.0086,"[""0.138"",""0.032"",""0.544"",""0.712""]","[1,0,1,1]",0,3,3,3,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,a,1,2.5247,"[""0.399"",""0.509"",""0.901"",""0.955""]","[0,1,1,1]",0,4,4,4,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,l,1,3.6547,"[""0.071"",""0.286"",""0.670"",""0.748""]","[1,1,1,0]",0,5,5,5,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,a,1,2.506,"[""0.221"",""0.472"",""0.032"",""0.852""]","[1,1,0,1]",0,6,6,6,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,a,1,3.1333,"[""0.178"",""0.509"",""0.033"",""0.955""]","[1,1,0,1]",0,7,7,7,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,a,1,1.9451,"[""0.178"",""0.509"",""0.901"",""0.401""]","[1,1,1,0]",0,8,8,8,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,l,1,2.068,"[""0.033"",""0.286"",""0.670"",""0.800""]","[0,1,1,1]",0,9,9,9,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5df42244946e972fd0bfeddb,001,2022-04-29_04h02.22.845,classification_task,2021.2.3,Win32,143.9055979,5df42244946e972fd0bfeddb,626b377229c10585ec392f8a,626b390edce70f07abfb883a,,,,,,,,,,,,,,,,,,,,,,,a,1,2.1975,"[""0.221"",""0.472"",""0.608"",""0.395""]","[1,1,1,0]",0,10,10,10,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
