usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,"[[""0.182"",""0.487"",""0.612"",""0.868""],[""0.226"",""0.363"",""0.832"",""0.935""]]","[[""0.138"",""0.266"",""0.561"",""0.763""],[""0.063"",""0.103"",""0.439"",""0.704""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Genshin Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,Do you have any form of color blindness?,,,0.7,0,No,16.7041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,18.0951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,,,,,,,,space,14.2392,space,2905.4848,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,,,,,,,,,,space,7.1122,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d2988ad9157106e1811c7,001,2022-04-28_20h09.13.737,classification_task,2021.2.3,Win32,59.87665409,5e7d2988ad9157106e1811c7,626b377229c10585ec392f8a,626b3a93a643ca4dfe1f41f9,,,,,,,,,,,,,,space,18.6523,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
