usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,"[[""0.243"",""0.492"",""0.858"",""0.966""],[""0.188"",""0.426"",""0.893"",""0.929""]]","[[""0.152"",""0.354"",""0.603"",""0.744""],[""0.098"",""0.292"",""0.671"",""0.704""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,league of legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,Do you have any form of color blindness?,,,0.7,0,No,5.7445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,23.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,,,,,,,,space,6.4704,space,283.8857,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,,,,,,,,,,space,3.3307,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e7d45108c94553d66207f51,001,2022-04-29_03h08.39.654,classification_task,2021.2.3,Win32,60.09254252,5e7d45108c94553d66207f51,626b377229c10585ec392f89,626b3a8d3faadc900a728b6a,,,,,,,,,,,,,,space,4.1375,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
