usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,"[[""0.165"",""0.333"",""0.827"",""0.899""],[""0.287"",""0.532"",""0.863"",""0.958""]]","[[""0.124"",""0.248"",""0.471"",""0.790""],[""0.045"",""0.080"",""0.619"",""0.695""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,Do you have any form of color blindness?,,,0.7,0,No,23.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,24.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,space,53.435,space,34.722,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,,,space,17.971,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,,,space,37.787,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,,,space,14.121,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,,,space,52.344,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,,,,,,,,,,space,26.169,l,1,4.147,"[""0.045"",""0.080"",""0.619"",""0.378""]","[1,1,1,0]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,,,,,,,,,,,,a,1,6.717,"[""0.585"",""0.333"",""0.827"",""0.899""]","[0,1,1,1]",0,1,1,1,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e8348450e128b0539d77ddc,001,2022-04-29_04h11.29.355,classification_task,2021.2.3,Win32,60.0240096,5e8348450e128b0539d77ddc,626b377229c10585ec392f8a,626b3a644f48837dbde9ab41,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.287"",""0.566"",""0.863"",""0.958""]","[1,0,1,1]",0,2,2,2,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
