usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,"[[""0.240"",""0.392"",""0.616"",""0.956""],[""0.324"",""0.529"",""0.679"",""0.876""]]","[[""0.025"",""0.191"",""0.579"",""0.733""],[""0.085"",""0.289"",""0.481"",""0.806""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,League of Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,Do you have any form of color blindness?,,,0.7,0,No,18.4998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,22.1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,,,,,,,,space,24.7695,space,10.9935,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,,,,,,,,,,space,5.2286,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5e9133f704391d46ee2bcb31,001,2022-04-28_21h11.41.627,classification_task,2021.2.3,Win32,60.81245439,5e9133f704391d46ee2bcb31,626b377229c10585ec392f89,626b3b17cd2dc8cbf2e4efbd,,,,,,,,,,,,,,space,22.6902,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
