usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,"[[""0.269"",""0.363"",""0.836"",""0.879""],[""0.192"",""0.507"",""0.915"",""0.950""]]","[[""0.155"",""0.309"",""0.439"",""0.738""],[""0.028"",""0.229"",""0.630"",""0.684""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,league of legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,Do you have any form of color blindness?,,,0.7,0,No,14.9967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,16.8872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,,,,,,,,space,24.5035,space,5.2964,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,,,,,,,,,,space,8.2498,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ebea7893af71c2282a450ad,001,2022-04-29_03h05.44.897,classification_task,2021.2.3,Win32,143.8641922,5ebea7893af71c2282a450ad,626b377229c10585ec392f89,626b3a304e7d9da64f0db358,,,,,,,,,,,,,,space,8.938,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
