usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,"[[""0.324"",""0.546"",""0.788"",""0.928""],[""0.234"",""0.448"",""0.673"",""0.862""]]","[[""0.107"",""0.274"",""0.626"",""0.724""],[""0.047"",""0.394"",""0.495"",""0.823""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,League of legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,54.6104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,60.3984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,19.9891,space,16.6112,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,4.33,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,11.5157,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,28.0264,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,5.6504,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,14.1431,l,0,4.1274,"[""0.146"",""0.448"",""0.673"",""0.862""]","[0,1,1,1]",0,0,0,0,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,4.3919,"[""0.158"",""0.546"",""0.788"",""0.928""]","[0,1,1,1]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,7.0033,"[""0.047"",""0.196"",""0.495"",""0.823""]","[1,0,1,1]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.6365,"[""0.234"",""0.448"",""0.182"",""0.862""]","[1,1,0,1]",0,3,3,3,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.6905,"[""0.047"",""0.394"",""0.587"",""0.823""]","[1,1,0,1]",0,4,4,4,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.8713,"[""0.107"",""0.274"",""0.626"",""0.188""]","[1,1,1,0]",0,5,5,5,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.9978,"[""0.234"",""0.158"",""0.673"",""0.862""]","[1,0,1,1]",0,6,6,6,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.191,"[""0.358"",""0.394"",""0.495"",""0.823""]","[0,1,1,1]",0,7,7,7,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec177fd6de0f859df6b9541,627c6fc626803dda7de0e8e9,2022-05-11_22h24.23.335,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,8.81,"[""0.161"",""0.274"",""0.626"",""0.724""]","[0,1,1,1]",0,8,8,8,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
