usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,"[[""0.185"",""0.367"",""0.708"",""0.881""],[""0.320"",""0.453"",""0.919"",""0.955""]]","[[""0.093"",""0.285"",""0.631"",""0.762""],[""0.138"",""0.417"",""0.560"",""0.836""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,COD Warzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,31.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,33.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,56.591,space,10.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,6.924,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ec96e9d4907d947b526e08d,627c679d1bf092acd0d5d6b7,2022-05-11_20h49.43.841,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,22.944,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
