usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,"[[""0.261"",""0.364"",""0.912"",""0.955""],[""0.319"",""0.518"",""0.655"",""0.862""]]","[[""0.058"",""0.153"",""0.461"",""0.828""],[""0.112"",""0.423"",""0.598"",""0.751""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Final Fantasy XIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,Do you have any form of color blindness?,,,0.7,0,No,12.8991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,14.9336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,,,,,,,,space,49.4167,space,7.3707,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,,,,,,,,,,space,10.2956,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5edc753bcee6c1953c31dacd,001,2022-04-29_03h45.50.871,classification_task,2021.2.3,Win32,59.95203837,5edc753bcee6c1953c31dacd,626b377229c10585ec392f8a,626b3b8040087ce01978a33d,,,,,,,,,,,,,,space,56.7907,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
