usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,"[[""0.226"",""0.539"",""0.808"",""0.972""],[""0.303"",""0.473"",""0.871"",""0.931""]]","[[""0.109"",""0.156"",""0.574"",""0.765""],[""0.043"",""0.400"",""0.619"",""0.721""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Parchis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,Do you have any form of color blindness?,,,0.7,0,No,19.9221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,23.7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,,,,,,,,space,38.3335,space,7.6798,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,,,,,,,,,,space,8.7965,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5efd440689469118b2540378,001,2022-04-28_18h03.19.398,classification_task,2021.2.3,Win32,60.35367252,5efd440689469118b2540378,626b377229c10585ec392f8a,626b38e0674052d874d36953,,,,,,,,,,,,,,space,36.0084,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
