usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,"[[""0.324"",""0.475"",""0.690"",""0.932""],[""0.181"",""0.406"",""0.880"",""0.969""]]","[[""0.129"",""0.215"",""0.614"",""0.743""],[""0.063"",""0.287"",""0.571"",""0.835""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Gran Turismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,Do you have any form of color blindness?,,,0.7,0,No,40.8808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,46.6887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,,,,,,,,space,41.4056,space,9.306,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,,,,,,,,,,space,11.858,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f0446dd71b11967ef18582b,001,2022-04-29_13h09.15.901,classification_task,2021.2.3,Win32,60.03842459,5f0446dd71b11967ef18582b,626b377229c10585ec392f89,626b3a999e6814ab52aa8baf,,,,,,,,,,,,,,space,92.4897,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
