usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,"[[""0.195"",""0.490"",""0.824"",""0.965""],[""0.317"",""0.538"",""0.859"",""0.896""]]","[[""0.142"",""0.271"",""0.630"",""0.777""],[""0.058"",""0.235"",""0.666"",""0.700""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,crash bandicoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,Do you have any form of color blindness?,,,0.7,0,No,25.9073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,49.1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,,,,,,,,space,31.402,space,24.9063,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,,,,,,,,,,space,18.9263,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f24891abbc6190706421642,001,2022-04-28_20h13.37.272,classification_task,2021.2.3,MacIntel,59.97361161,5f24891abbc6190706421642,626b377229c10585ec392f89,626b3b16b635dd57debdebf7,,,,,,,,,,,,,,space,41.9695,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
