usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,"[[""0.251"",""0.412"",""0.849"",""0.906""],[""0.311"",""0.554"",""0.764"",""0.959""]]","[[""0.095"",""0.359"",""0.519"",""0.804""],[""0.040"",""0.211"",""0.471"",""0.724""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Elden Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,12.8683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,16.9815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,25.7631,space,8.2997,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,8.6476,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,34.8656,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,19.3534,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,9.9819,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,16.3381,l,1,3.5794,"[""0.040"",""0.663"",""0.471"",""0.724""]","[1,0,1,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.5491,"[""0.040"",""0.211"",""0.593"",""0.724""]","[1,1,0,1]",0,1,1,1,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.0841,"[""0.040"",""0.211"",""0.471"",""0.593""]","[1,1,1,0]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.8347,"[""0.311"",""0.554"",""0.598"",""0.959""]","[1,1,0,1]",0,3,3,3,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.8841,"[""0.141"",""0.554"",""0.764"",""0.959""]","[0,1,1,1]",0,4,4,4,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,9.716,"[""0.251"",""0.159"",""0.849"",""0.906""]","[1,0,1,1]",0,5,5,5,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,7.4989,"[""0.671"",""0.359"",""0.519"",""0.804""]","[0,1,1,1]",0,6,6,6,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.017,"[""0.095"",""0.673"",""0.519"",""0.804""]","[1,0,1,1]",0,7,7,7,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.4169,"[""0.687"",""0.412"",""0.849"",""0.906""]","[0,1,1,1]",0,8,8,8,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.7506,"[""0.095"",""0.359"",""0.170"",""0.804""]","[1,1,0,1]",0,9,9,9,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.982,"[""0.311"",""0.663"",""0.764"",""0.959""]","[1,0,1,1]",0,10,10,10,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.6664,"[""0.095"",""0.359"",""0.519"",""0.617""]","[1,1,1,0]",0,11,11,11,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.6994,"[""0.311"",""0.554"",""0.764"",""0.637""]","[1,1,1,0]",0,12,12,12,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2c79e260e2f703a2196380,627c68f0ef443bb428a08beb,2022-05-11_22h00.09.095,classification_task,2021.2.3,Win32,59.86948452,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,6.431,"[""0.251"",""0.412"",""0.849"",""0.170""]","[1,1,1,0]",0,13,13,13,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
