usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,"[[""0.218"",""0.414"",""0.737"",""0.968""],[""0.182"",""0.335"",""0.647"",""0.912""]]","[[""0.050"",""0.379"",""0.554"",""0.699""],[""0.085"",""0.121"",""0.506"",""0.796""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,Do you have any form of color blindness?,,,0.7,0,No,21.6857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,25.0504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,,,,,,,,space,43.1928,space,11.0289,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,,,,,,,,,,space,11.0457,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,,,,,,,,,,space,18.8432,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,,,,,,,,,,space,13.0471,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f2dc42024e8d80f3be23d05,001,2022-04-28_20h11.10.941,classification_task,2021.2.3,Win32,59.80503558,5f2dc42024e8d80f3be23d05,626b377229c10585ec392f89,626b3ae6d84129424f238cc0,,,,,,,,,,,,,,space,27.9082,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
