usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,"[[""0.324"",""0.508"",""0.816"",""0.973""],[""0.265"",""0.397"",""0.852"",""0.938""]]","[[""0.112"",""0.176"",""0.561"",""0.689""],[""0.028"",""0.230"",""0.647"",""0.736""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Call of duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,14.4246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,16.4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,186.4073,space,13.1787,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,13.0461,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,16.7969,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,13.084,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,50.4088,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f319efc2977330948eebbcd,627c759e5f6870000aa857f5,2022-05-11_21h50.13.434,classification_task,2021.2.3,Win32,60.0060006,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,77.0452,a,0,2.5084,"[""0.112"",""0.176"",""0.561"",""0.466""]","[1,1,1,0]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
