usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,"[[""0.278"",""0.529"",""0.701"",""0.972""],[""0.237"",""0.463"",""0.872"",""0.909""]]","[[""0.076"",""0.354"",""0.650"",""0.823""],[""0.111"",""0.152"",""0.585"",""0.766""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,Do you have any form of color blindness?,,,0.7,0,No,13.5587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,16.1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,,,,,,,,space,27.6068,space,10.278,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,,,,,,,,,,space,13.5371,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f3ba39206b3218cf379659d,001,2022-04-29_13h14.44.650,classification_task,2021.2.3,Win32,60.49606776,5f3ba39206b3218cf379659d,626b377229c10585ec392f8a,626b3b7f48bfea07056a1736,,,,,,,,,,,,,,space,27.9447,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
