usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,"[[""0.228"",""0.565"",""0.860"",""0.966""],[""0.164"",""0.432"",""0.895"",""0.931""]]","[[""0.127"",""0.271"",""0.500"",""0.766""],[""0.065"",""0.394"",""0.640"",""0.814""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,need for speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,Do you have any form of color blindness?,,,0.7,0,No,32.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,37.1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,space,63.2506,space,6.2129,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,space,5.8202,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,space,15.0479,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,space,9.9676,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,space,14.5712,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,,,,,,,,space,23.5512,a,0,4.106,"[""0.065"",""0.691"",""0.640"",""0.814""]","[1,0,1,1]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,,,,,,,,,,a,0,1.0931,"[""0.127"",""0.271"",""0.683"",""0.766""]","[1,1,0,1]",0,1,1,1,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,,,,,,,,,,a,0,3.9901,"[""0.696"",""0.394"",""0.640"",""0.814""]","[0,1,1,1]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f4878547f5251349215a519,001,2022-04-28_21h45.54.067,classification_task,2021.2.3,MacIntel,59.99880002,5f4878547f5251349215a519,626b377229c10585ec392f8a,626b513c1e43323b6433232f,,,,,,,,,,,,,,,,,,,,,,,l,0,1.5358,"[""0.600"",""0.565"",""0.860"",""0.966""]","[0,1,1,1]",0,3,3,3,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
