usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,"[[""0.325"",""0.519"",""0.850"",""0.887""],[""0.177"",""0.372"",""0.936"",""0.974""]]","[[""0.051"",""0.251"",""0.560"",""0.702""],[""0.091"",""0.408"",""0.451"",""0.796""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Final Fantasy XIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,Do you have any form of color blindness?,,,0.7,0,No,8.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,12.0406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,,,,,,,,space,17.7446,space,7.7005,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,,,,,,,,,,space,5.9991,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494676e0837811e94a4007,001,2022-04-28_21h17.49.849,classification_task,2021.2.3,Win32,60.02040694,5f494676e0837811e94a4007,626b377229c10585ec392f89,626b3a966871a29d61042c97,,,,,,,,,,,,,,space,72.0676,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
