usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,"[[""0.214"",""0.412"",""0.596"",""0.943""],[""0.272"",""0.532"",""0.874"",""0.909""]]","[[""0.055"",""0.114"",""0.669"",""0.818""],[""0.155"",""0.314"",""0.489"",""0.716""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,The sims 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,Do you have any form of color blindness?,,,0.7,0,No,18.2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,21.7167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,space,27.2125,space,9.4203,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,space,6.1642,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,space,21.5146,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,space,7.4482,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,space,8.887,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,space,14.8431,l,1,4.3228,"[""0.055"",""0.114"",""0.669"",""0.632""]","[1,1,1,0]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,a,0,3.2783,"[""0.446"",""0.314"",""0.489"",""0.716""]","[0,1,1,1]",0,1,1,1,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,a,1,5.6259,"[""0.355"",""0.412"",""0.596"",""0.943""]","[0,1,1,1]",0,2,2,2,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,l,1,4.1353,"[""0.446"",""0.114"",""0.669"",""0.818""]","[0,1,1,1]",0,3,3,3,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,a,1,3.1215,"[""0.214"",""0.412"",""0.632"",""0.943""]","[1,1,0,1]",0,4,4,4,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,a,1,9.2165,"[""0.272"",""0.532"",""0.874"",""0.350""]","[1,1,1,0]",0,5,5,5,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,l,1,6.2381,"[""0.155"",""0.632"",""0.489"",""0.716""]","[1,0,1,1]",0,6,6,6,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,l,1,3.0035,"[""0.055"",""0.114"",""0.355"",""0.818""]","[1,1,0,1]",0,7,7,7,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,a,1,7.5027,"[""0.214"",""0.412"",""0.596"",""0.781""]","[1,1,1,0]",0,8,8,8,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,l,1,7.9984,"[""0.155"",""0.314"",""0.778"",""0.716""]","[1,1,0,1]",0,9,9,9,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,a,1,2.7367,"[""0.355"",""0.532"",""0.874"",""0.909""]","[0,1,1,1]",0,10,10,10,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,a,1,8.1938,"[""0.214"",""0.781"",""0.596"",""0.943""]","[1,0,1,1]",0,11,11,11,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,l,1,5.3504,"[""0.155"",""0.314"",""0.489"",""0.446""]","[1,1,1,0]",0,12,12,12,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,l,1,2.3509,"[""0.055"",""0.750"",""0.669"",""0.818""]","[1,0,1,1]",0,13,13,13,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f494e24f9229236c055063b,001,2022-04-29_03h15.10.095,classification_task,2021.2.3,MacIntel,59.99880002,5f494e24f9229236c055063b,626b377229c10585ec392f8a,626b3bcdd152bd77a80e6e1b,,,,,,,,,,,,,,,,,,,,,,,a,1,2.4619,"[""0.272"",""0.764"",""0.874"",""0.909""]","[1,0,1,1]",0,14,14,14,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
