usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,"[[""0.235"",""0.455"",""0.862"",""0.940""],[""0.157"",""0.387"",""0.900"",""0.974""]]","[[""0.032"",""0.331"",""0.623"",""0.715""],[""0.121"",""0.191"",""0.519"",""0.790""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,fifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,36.8721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,41.9922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,61.1424,space,6.0255,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,19.4844,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,36.9874,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,33.7747,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,26.548,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,26.5018,,0,"[""0.157"",""0.387"",""0.900"",""0.580""]","[1,1,1,0]",0,0,0,0,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,"[""0.235"",""0.455"",""0.749"",""0.940""]","[1,1,0,1]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.068"",""0.331"",""0.623"",""0.715""]","[0,1,1,1]",0,2,2,2,1,1,0,,,1,FALSE,2.1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.754"",""0.455"",""0.862"",""0.940""]","[0,1,1,1]",0,3,3,3,1,0,0,,,1,FALSE,1.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.585"",""0.387"",""0.900"",""0.974""]","[0,1,1,1]",0,4,4,4,1,0,1,,,1,FALSE,2.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.032"",""0.676"",""0.623"",""0.715""]","[1,0,1,1]",0,5,5,5,1,1,0,,,1,FALSE,1.3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52237276d614488e847c1b,627c69704c56a40e37fe322e,2022-05-12_04h57.55.382,classification_task,2021.2.3,Win32,60.02040694,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.032"",""0.331"",""0.623"",""0.664""]","[1,1,1,0]",0,6,6,6,1,1,0,,,1,FALSE,1.0839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
