usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,"[[""0.292"",""0.488"",""0.867"",""0.933""],[""0.200"",""0.534"",""0.679"",""0.967""]]","[[""0.148"",""0.241"",""0.575"",""0.807""],[""0.060"",""0.380"",""0.623"",""0.724""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Apex Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,27.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,,,,,,,,space,143.0257,space,273.5935,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,,,,,,,,,,space,13.1786,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f52942b758cc0573b0eab12,001,2022-04-29_02h10.33.373,classification_task,2021.2.3,Win32,143.8228103,5f52942b758cc0573b0eab12,626b377229c10585ec392f89,626b3aba2f0aeed8afb3ff51,,,,,,,,,,,,,,space,28.4624,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
