usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,"[[""0.235"",""0.382"",""0.846"",""0.882""],[""0.163"",""0.425"",""0.923"",""0.972""]]","[[""0.129"",""0.316"",""0.607"",""0.694""],[""0.095"",""0.270"",""0.563"",""0.754""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Elden Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,Do you have any form of color blindness?,,,0.7,0,No,47.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,53.7024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,,,,,,,,space,58.0976,space,19.4274,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,,,,,,,,,,space,13.5408,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f740f60b8a1e41acc020269,001,2022-04-28_20h21.50.822,classification_task,2021.2.3,Win32,59.90893841,5f740f60b8a1e41acc020269,626b377229c10585ec392f89,626b3a83526d4a31057ffb83,,,,,,,,,,,,,,space,25.741,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
