usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,"[[""0.213"",""0.498"",""0.919"",""0.974""],[""0.249"",""0.422"",""0.696"",""0.884""]]","[[""0.058"",""0.335"",""0.464"",""0.773""],[""0.112"",""0.147"",""0.621"",""0.830""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,Do you have any form of color blindness?,,,0.7,0,No,21.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,25.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,,,,,,,,space,41.249,space,13.168,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,,,,,,,,,,space,11.842,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f9920fdbcbfb224a0c96932,001,2022-04-29_10h42.32.492,classification_task,2021.2.3,Win32,60.0240096,5f9920fdbcbfb224a0c96932,626b377229c10585ec392f8a,626b3b488e63d823d729a59a,,,,,,,,,,,,,,space,41.234,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
