usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,"[[""0.246"",""0.364"",""0.589"",""0.880""],[""0.198"",""0.443"",""0.925"",""0.974""]]","[[""0.038"",""0.323"",""0.494"",""0.806""],[""0.150"",""0.280"",""0.550"",""0.720""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,League of Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,25.5093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,29.4946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,32.685,space,14.5538,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,14.3195,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,25.7415,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,33.7151,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,13.8489,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,17.8373,l,1,3.1744,"[""0.150"",""0.280"",""0.629"",""0.720""]","[1,1,0,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.226,"[""0.402"",""0.323"",""0.494"",""0.806""]","[0,1,1,1]",0,1,1,1,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,7.4262,"[""0.150"",""0.077"",""0.550"",""0.720""]","[1,0,1,1]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.3241,"[""0.246"",""0.364"",""0.840"",""0.880""]","[1,1,0,1]",0,3,3,3,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.1881,"[""0.198"",""0.681"",""0.925"",""0.974""]","[1,0,1,1]",0,4,4,4,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fbb74f7d40ee2c8e428af65,627c6eb47b3813347a8a8a0d,2022-05-11_22h19.54.911,classification_task,2021.2.3,Win32,165.6177542,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.9535,"[""0.038"",""0.323"",""0.759"",""0.806""]","[1,1,0,1]",0,5,5,5,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
