usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,"[[""0.297"",""0.491"",""0.592"",""0.888""],[""0.207"",""0.383"",""0.722"",""0.962""]]","[[""0.153"",""0.241"",""0.449"",""0.781""],[""0.041"",""0.331"",""0.532"",""0.817""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,10.7075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,12.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,19.1531,space,10.4142,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,10.3825,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,51.1258,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,4.0986,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fcabc958a2a9d78cd4b0d4f,627c762f3015f0b9b9c103fe,2022-05-11_22h51.44.516,classification_task,2021.2.3,Win32,58.9935697,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,9.0144,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
