usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,"[[""0.298"",""0.525"",""0.861"",""0.949""],[""0.246"",""0.389"",""0.739"",""0.895""]]","[[""0.048"",""0.355"",""0.655"",""0.814""],[""0.125"",""0.426"",""0.485"",""0.698""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Hearthstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,Do you have any form of color blindness?,,,0.7,0,No,30.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,35.3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,,,,,,,,space,19.8616,space,5.9028,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,,,,,,,,,,space,5.9327,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5fe22e82e9df3d5674a3fbfb,001,2022-04-28_21h06.24.768,classification_task,2021.2.3,Win32,59.96282305,5fe22e82e9df3d5674a3fbfb,626b377229c10585ec392f89,626b39c17b0808b54565651c,,,,,,,,,,,,,,space,29.464,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
