usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,"[[""0.195"",""0.565"",""0.888"",""0.939""],[""0.246"",""0.334"",""0.658"",""0.974""]]","[[""0.081"",""0.375"",""0.478"",""0.748""],[""0.139"",""0.414"",""0.524"",""0.701""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Valorant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,31.3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,35.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,44.9215,space,9.8056,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,9.1311,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5ff0a3d22c2ee6fa5d47c312,627c6f59cf6652b27e05561f,2022-05-12_04h22.38.826,classification_task,2021.2.3,Win32,134.5351809,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,19.613,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
