usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,"[[""0.262"",""0.554"",""0.878"",""0.917""],[""0.217"",""0.493"",""0.771"",""0.960""]]","[[""0.101"",""0.342"",""0.624"",""0.721""],[""0.143"",""0.417"",""0.457"",""0.808""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Mobile Legends (League of Legends for phone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,Do you have any form of color blindness?,,,0.7,0,No,43.6732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,46.5367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,,,,,,,,space,27.2806,space,7.1816,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,,,,,,,,,,space,11.414,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,,,,,,,,,,space,40.3571,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,,,,,,,,,,space,5.5205,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,,,,,,,,,,space,42.937,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600f71a80a45f0159a38cfe5,001,2022-04-28_20h14.38.322,classification_task,2021.2.3,Win32,59.93407252,600f71a80a45f0159a38cfe5,626b377229c10585ec392f8a,626b3b9fb7debd6e17e395a0,,,,,,,,,,,,,,,,,,,,,space,15.0507,l,0,4.4655,"[""0.262"",""0.554"",""0.878"",""0.039""]","[1,1,1,0]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
