usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,"[[""0.178"",""0.448"",""0.881"",""0.927""],[""0.220"",""0.379"",""0.670"",""0.845""]]","[[""0.032"",""0.345"",""0.627"",""0.730""],[""0.136"",""0.274"",""0.571"",""0.769""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,26.2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,9.4992,space,9.0026,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,5.4281,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,9.8819,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,14.6276,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,19.7166,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,13.6823,a,0,8.5083,"[""0.068"",""0.345"",""0.627"",""0.730""]","[0,1,1,1]",0,0,0,0,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,2.8383,"[""0.178"",""0.448"",""0.881"",""0.534""]","[1,1,1,0]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.0186,"[""0.032"",""0.345"",""0.627"",""0.496""]","[1,1,1,0]",0,2,2,2,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,1.5911,"[""0.032"",""0.345"",""0.080"",""0.730""]","[1,1,0,1]",0,3,3,3,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,1.838,"[""0.178"",""0.448"",""0.534"",""0.927""]","[1,1,0,1]",0,4,4,4,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602326226c524c179f82fda4,627c68d8189a88f8213319f0,2022-05-12_03h56.07.134,classification_task,2021.2.3,Win32,60.09254252,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6554,"[""0.136"",""0.068"",""0.571"",""0.769""]","[1,0,1,1]",0,5,5,5,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
