usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,"[[""0.289"",""0.374"",""0.639"",""0.944""],[""0.175"",""0.563"",""0.776"",""0.894""]]","[[""0.057"",""0.216"",""0.521"",""0.682""],[""0.128"",""0.421"",""0.472"",""0.825""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Elden Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,Do you have any form of color blindness?,,,0.7,0,No,19.6785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,21.3993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,,,,,,,,space,29.9695,space,7.508,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,,,,,,,,,,space,7.7483,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6036d6284f9841a390cbd5a5,001,2022-04-28_22h02.47.475,classification_task,2021.2.3,Win32,143.7401179,6036d6284f9841a390cbd5a5,626b377229c10585ec392f89,626b471b9908862b7c4d9464,,,,,,,,,,,,,,space,24.9679,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
