usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,"[[""0.225"",""0.466"",""0.806"",""0.931""],[""0.275"",""0.371"",""0.624"",""0.887""]]","[[""0.059"",""0.423"",""0.519"",""0.766""],[""0.145"",""0.312"",""0.663"",""0.713""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,PUZZLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,Do you have any form of color blindness?,,,0.7,0,No,40.1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,46.5248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,,,,,,,,space,34.7248,space,14.398,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,,,,,,,,,,space,18.5403,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,603d221fa82afdb2b19d0692,001,2022-04-29_03h16.46.846,classification_task,2021.2.3,Win32,59.86590038,603d221fa82afdb2b19d0692,626b377229c10585ec392f8a,626b3c2b3faadc900a728b6e,,,,,,,,,,,,,,space,33.1424,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
