usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,"[[""0.238"",""0.447"",""0.635"",""0.891""],[""0.191"",""0.488"",""0.856"",""0.950""]]","[[""0.084"",""0.143"",""0.576"",""0.696""],[""0.029"",""0.301"",""0.528"",""0.756""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Rocket League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,Do you have any form of color blindness?,,,0.7,0,No,32.2536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,36.9075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,,,,,,,,space,32.8376,space,11.7329,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,,,,,,,,,,space,9.4546,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6052b0d0dc7dc26036979852,001,2022-04-29_02h09.44.807,classification_task,2021.2.3,Win32,60.16847172,6052b0d0dc7dc26036979852,626b377229c10585ec392f89,626b3aa51b86b109f7115cbd,,,,,,,,,,,,,,space,18.9042,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
