usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,"[[""0.187"",""0.350"",""0.916"",""0.956""],[""0.316"",""0.477"",""0.834"",""0.876""]]","[[""0.148"",""0.231"",""0.637"",""0.689""],[""0.059"",""0.281"",""0.579"",""0.749""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,god of war,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,40.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,42.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,32.023,space,5.981,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,8.815,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,29.314,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,52.201,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,16.017,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,17.579,a,1,7.243,"[""0.514"",""0.350"",""0.916"",""0.956""]","[0,1,1,1]",0,0,0,0,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,6.917,"[""0.187"",""0.350"",""0.916"",""0.527""]","[1,1,1,0]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,7.094,"[""0.059"",""0.281"",""0.390"",""0.749""]","[1,1,0,1]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.123,"[""0.114"",""0.477"",""0.834"",""0.876""]","[0,1,1,1]",0,3,3,3,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.444,"[""0.148"",""0.231"",""0.102"",""0.689""]","[1,1,0,1]",0,4,4,4,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.218,"[""0.148"",""0.231"",""0.637"",""0.405""]","[1,1,1,0]",0,5,5,5,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.571,"[""0.148"",""0.391"",""0.637"",""0.689""]","[1,0,1,1]",0,6,6,6,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,7.377,"[""0.316"",""0.477"",""0.404"",""0.876""]","[1,1,0,1]",0,7,7,7,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,8.385,"[""0.316"",""0.477"",""0.834"",""0.391""]","[1,1,1,0]",0,8,8,8,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,4.946,"[""0.187"",""0.102"",""0.916"",""0.956""]","[1,0,1,1]",0,9,9,9,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,8.012,"[""0.316"",""0.440"",""0.834"",""0.876""]","[1,0,1,1]",0,10,10,10,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.59,"[""0.515"",""0.231"",""0.637"",""0.689""]","[0,1,1,1]",0,11,11,11,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.359,"[""0.059"",""0.281"",""0.579"",""0.102""]","[1,1,1,0]",0,12,12,12,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.101,"[""0.109"",""0.281"",""0.579"",""0.749""]","[0,1,1,1]",0,13,13,13,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.577,"[""0.187"",""0.350"",""0.405"",""0.956""]","[1,1,0,1]",0,14,14,14,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,7.564,"[""0.059"",""0.515"",""0.579"",""0.749""]","[1,0,1,1]",0,15,15,15,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.507,"[""0.404"",""0.231"",""0.637"",""0.689""]","[0,1,1,1]",0,16,16,16,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.032,"[""0.428"",""0.477"",""0.834"",""0.876""]","[0,1,1,1]",0,17,17,17,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,9.015,"[""0.187"",""0.350"",""0.102"",""0.956""]","[1,1,0,1]",0,18,18,18,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.769,"[""0.148"",""0.231"",""0.114"",""0.689""]","[1,1,0,1]",0,19,19,19,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.961,"[""0.059"",""0.281"",""0.440"",""0.749""]","[1,1,0,1]",0,20,20,20,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,4.991,"[""0.316"",""0.477"",""0.834"",""0.114""]","[1,1,1,0]",0,21,21,21,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.777,"[""0.148"",""0.231"",""0.637"",""0.440""]","[1,1,1,0]",0,22,22,22,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6065dcc8bc4a1f1663e4d13b,627c6f6d3ed2968600fa2090,2022-05-12_03h23.10.564,classification_task,2021.2.3,Win32,60.0240096,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.601,"[""0.059"",""0.405"",""0.579"",""0.749""]","[1,0,1,1]",0,23,23,23,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
