usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,"[[""0.202"",""0.533"",""0.745"",""0.875""],[""0.168"",""0.365"",""0.709"",""0.964""]]","[[""0.098"",""0.294"",""0.668"",""0.785""],[""0.134"",""0.255"",""0.444"",""0.826""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,elden ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,Do you have any form of color blindness?,,,0.7,0,No,12.5908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,13.0518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,,,,,,,,space,17.8021,space,18.6312,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,,,,,,,,,,space,7.7817,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607b6943b02ad525b94b458b,001,2022-04-29_02h10.26.876,classification_task,2021.2.3,Win32,143.472023,607b6943b02ad525b94b458b,626b377229c10585ec392f89,626b394432a306a23d9b7ee8,,,,,,,,,,,,,,space,18.6976,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
