usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,"[[""0.204"",""0.553"",""0.681"",""0.917""],[""0.313"",""0.411"",""0.881"",""0.970""]]","[[""0.048"",""0.264"",""0.449"",""0.781""],[""0.109"",""0.360"",""0.489"",""0.828""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Genshin impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,Do you have any form of color blindness?,,,0.7,0,No,27.3018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,29.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,,,,,,,,space,27.3615,space,5.6137,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,,,,,,,,,,space,5.3015,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,607f85f6c1ea0861504ac890,001,2022-04-28_21h02.55.840,classification_task,2021.2.3,Win32,60.73858115,607f85f6c1ea0861504ac890,626b377229c10585ec392f8a,626b392580c8a2837ca6cbdb,,,,,,,,,,,,,,space,33.8242,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
