usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,"[[""0.288"",""0.419"",""0.844"",""0.931""],[""0.177"",""0.472"",""0.888"",""0.967""]]","[[""0.035"",""0.232"",""0.521"",""0.788""],[""0.104"",""0.372"",""0.556"",""0.734""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Apex Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.7729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,26.7466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,12.5907,space,8.9666,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,4.3647,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,9.0859,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,12.2685,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,9.0857,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,8.1396,a,0,8.6888,"[""0.035"",""0.232"",""0.621"",""0.788""]","[1,1,0,1]",0,0,0,0,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.5803,"[""0.177"",""0.472"",""0.888"",""0.613""]","[1,1,1,0]",0,1,1,1,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,4.9671,"[""0.177"",""0.647"",""0.888"",""0.967""]","[1,0,1,1]",0,2,2,2,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,1.7993,"[""0.597"",""0.419"",""0.844"",""0.931""]","[0,1,1,1]",0,3,3,3,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,3.6509,"[""0.177"",""0.472"",""0.672"",""0.967""]","[1,1,0,1]",0,4,4,4,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,7.6692,"[""0.618"",""0.372"",""0.556"",""0.734""]","[0,1,1,1]",0,5,5,5,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,608252263bd38a91cf28c121,627c69960b1eff972bd1fead,2022-05-11_21h57.57.442,classification_task,2021.2.3,Win32,59.81934558,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.4342,"[""0.288"",""0.419"",""0.844"",""0.618""]","[1,1,1,0]",0,6,6,6,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
