usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,"[[""0.182"",""0.363"",""0.868"",""0.943""],[""0.307"",""0.533"",""0.655"",""0.907""]]","[[""0.026"",""0.226"",""0.577"",""0.739""],[""0.146"",""0.423"",""0.485"",""0.702""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Days Gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,43.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,99.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,61.917,space,20.951,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,39.686,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,37.374,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,7.46,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,26.235,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,31.428,a,1,9.295,"[""0.182"",""0.363"",""0.868"",""0.798""]","[1,1,1,0]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.182"",""0.363"",""0.083"",""0.943""]","[1,1,0,1]",0,1,1,1,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.778,"[""0.026"",""0.620"",""0.577"",""0.739""]","[1,0,1,1]",0,2,2,2,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6088a7e22d5b98ef3f813a22,627c7b4a3f5838224a1cd872,2022-05-11_23h17.00.797,classification_task,2021.2.3,Win32,59.80861244,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.474,"[""0.146"",""0.824"",""0.485"",""0.702""]","[1,0,1,1]",0,3,3,3,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
