usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,"[[""0.297"",""0.545"",""0.922"",""0.965""],[""0.212"",""0.461"",""0.591"",""0.852""]]","[[""0.065"",""0.411"",""0.671"",""0.728""],[""0.100"",""0.357"",""0.494"",""0.782""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,Do you have any form of color blindness?,,,0.7,0,No,21.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,23.1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,,,,,,,,space,14.474,space,6.0338,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,,,,,,,,,,space,5.8111,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60990c861b856e3f6988306e,001,2022-04-29_03h09.26.130,classification_task,2021.2.3,Win32,60.47777442,60990c861b856e3f6988306e,626b377229c10585ec392f89,626b3aa76733f5a63aea1639,,,,,,,,,,,,,,space,10.7526,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
