usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,"[[""0.195"",""0.442"",""0.624"",""0.932""],[""0.250"",""0.536"",""0.853"",""0.890""]]","[[""0.044"",""0.407"",""0.482"",""0.804""],[""0.148"",""0.353"",""0.659"",""0.699""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,Do you have any form of color blindness?,,,0.7,0,No,29.3471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,33.2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,,,,,,,,space,112.4088,space,20.2027,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,,,,,,,,,,space,13.0575,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,609d1224afa6945618b68f1f,001,2022-04-29_10h56.18.091,classification_task,2021.2.3,Win32,59.95922773,609d1224afa6945618b68f1f,626b377229c10585ec392f8a,626b3c4f6871a29d61042c9f,,,,,,,,,,,,,,space,64.1817,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
