usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,"[[""0.215"",""0.486"",""0.855"",""0.901""],[""0.258"",""0.398"",""0.602"",""0.942""]]","[[""0.147"",""0.298"",""0.561"",""0.722""],[""0.060"",""0.356"",""0.653"",""0.775""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,It Takes Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,Do you have any form of color blindness?,,,0.7,0,No,111.7164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,113.8061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,,,,,,,,space,43.7062,space,12.6543,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,,,,,,,,,,space,16.3571,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,,,,,,,,,,space,24.0843,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60a6bb486c34319e01073638,001,2022-04-28_21h13.34.319,classification_task,2021.2.3,Win32,59.95922773,60a6bb486c34319e01073638,626b377229c10585ec392f8a,626b3b8c0cf54eb8b1304e5f,,,,,,,,,,,,,,space,53.9073,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
