usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,"[[""0.163"",""0.450"",""0.689"",""0.939""],[""0.274"",""0.368"",""0.864"",""0.904""]]","[[""0.052"",""0.238"",""0.638"",""0.806""],[""0.091"",""0.318"",""0.579"",""0.756""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,Do you have any form of color blindness?,,,0.7,0,No,12.0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,14.0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,space,10.0614,space,7.4325,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,space,3.6329,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,space,13.3165,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,space,2.0519,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,space,2.1358,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,space,2.5312,a,0,1.145,"[""0.091"",""0.318"",""0.498"",""0.756""]","[1,1,0,1]",0,0,0,0,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,l,0,1.1746,"[""0.528"",""0.450"",""0.689"",""0.939""]","[0,1,1,1]",0,1,1,1,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,l,1,1.653,"[""0.052"",""0.498"",""0.638"",""0.806""]","[1,0,1,1]",0,2,2,2,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,l,0,2.5941,"[""0.502"",""0.368"",""0.864"",""0.904""]","[0,1,1,1]",0,3,3,3,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,a,0,0.6789,"[""0.052"",""0.238"",""0.498"",""0.806""]","[1,1,0,1]",0,4,4,4,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,l,0,0.612,"[""0.163"",""0.450"",""0.533"",""0.939""]","[1,1,0,1]",0,5,5,5,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1409,"[""0.274"",""0.368"",""0.864"",""0.525""]","[1,1,1,0]",0,6,6,6,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,a,1,0.6956,"[""0.274"",""0.526"",""0.864"",""0.904""]","[1,0,1,1]",0,7,7,7,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,l,1,0.8129,"[""0.052"",""0.238"",""0.638"",""0.495""]","[1,1,1,0]",0,8,8,8,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60adbd85d31d5039d3638816,001,2022-04-29_13h16.38.343,classification_task,2021.2.3,Win32,60.03121623,60adbd85d31d5039d3638816,626b377229c10585ec392f8a,626b3c5dc80ab878a33c3b10,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7744,"[""0.274"",""0.368"",""0.127"",""0.904""]","[1,1,0,1]",0,9,9,9,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
