usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,"[[""0.285"",""0.560"",""0.674"",""0.962""],[""0.159"",""0.416"",""0.888"",""0.925""]]","[[""0.094"",""0.225"",""0.473"",""0.832""],[""0.048"",""0.380"",""0.605"",""0.753""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,Do you have any form of color blindness?,,,0.7,0,No,17.9673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,21.0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,,,,,,,,space,21.1249,space,5.7362,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,,,,,,,,,,space,5.4776,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,,,,,,,,,,space,22.6021,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b651381aa0911cce208974,001,2022-04-28_20h14.38.990,classification_task,2021.2.3,Win32,59.672992,60b651381aa0911cce208974,626b377229c10585ec392f8a,626b3bc817aabf30cec2b147,,,,,,,,,,,,,,space,4.9139,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
