usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,"[[""0.324"",""0.409"",""0.608"",""0.973""],[""0.163"",""0.359"",""0.882"",""0.929""]]","[[""0.086"",""0.205"",""0.537"",""0.704""],[""0.040"",""0.241"",""0.477"",""0.822""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,Do you have any form of color blindness?,,,0.7,0,No,15.8336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,18.9822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,,,,,,,,space,37.894,space,7.825,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,,,,,,,,,,space,10.6684,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,,,,,,,,,,space,29.5112,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,,,,,,,,,,space,7.4596,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,,,,,,,,,,space,18.3053,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b805f47d6292141781c36e,001,2022-04-28_20h09.36.224,classification_task,2021.2.3,Win32,59.03187721,60b805f47d6292141781c36e,626b377229c10585ec392f89,626b3a84e069abe1f7d1704c,,,,,,,,,,,,,,,,,,,,,space,15.4578,,0,"[""0.738"",""0.205"",""0.537"",""0.704""]","[0,1,1,1]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
