usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,"[[""0.314"",""0.484"",""0.854"",""0.927""],[""0.190"",""0.443"",""0.582"",""0.891""]]","[[""0.035"",""0.249"",""0.633"",""0.810""],[""0.095"",""0.384"",""0.544"",""0.701""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,Do you have any form of color blindness?,,,0.7,0,No,27.0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,28.2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,,,,,,,,space,43.3058,space,13.1355,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,,,,,,,,,,space,87.1143,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,,,,,,,,,,space,42.3105,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,,,,,,,,,,space,38.5499,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b9585537f22407ad740a00,001,2022-04-29_02h12.52.155,classification_task,2021.2.3,Win32,60.0528465,60b9585537f22407ad740a00,626b377229c10585ec392f8a,626b3b3bafb8708d5b6e8d9e,,,,,,,,,,,,,,space,11.6541,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
