usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,"[[""0.193"",""0.375"",""0.932"",""0.968""],[""0.240"",""0.342"",""0.589"",""0.894""]]","[[""0.027"",""0.065"",""0.455"",""0.725""],[""0.150"",""0.420"",""0.537"",""0.776""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Valorant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,30.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,32.7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,29.3403,space,11.9404,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,7.5965,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,22.833,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,34.174,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,10.8019,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,11.0949,l,1,7.2831,"[""0.150"",""0.420"",""0.537"",""0.644""]","[1,1,1,0]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.677"",""0.375"",""0.932"",""0.968""]","[0,1,1,1]",0,1,1,1,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.630"",""0.420"",""0.537"",""0.776""]","[0,1,1,1]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,6.0687,"[""0.193"",""0.848"",""0.932"",""0.968""]","[1,0,1,1]",0,3,3,3,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.8396,"[""0.193"",""0.375"",""0.677"",""0.968""]","[1,1,0,1]",0,4,4,4,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,2.4319,"[""0.240"",""0.342"",""0.589"",""0.642""]","[1,1,1,0]",0,5,5,5,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.3229,"[""0.150"",""0.642"",""0.537"",""0.776""]","[1,0,1,1]",0,6,6,6,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,2.7409,"[""0.193"",""0.375"",""0.932"",""0.098""]","[1,1,1,0]",0,7,7,7,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.0497,"[""0.150"",""0.420"",""0.849"",""0.776""]","[1,1,0,1]",0,8,8,8,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.6375,"[""0.240"",""0.342"",""0.098"",""0.894""]","[1,1,0,1]",0,9,9,9,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.6688,"[""0.240"",""0.281"",""0.589"",""0.894""]","[1,0,1,1]",0,10,10,10,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.212,"[""0.027"",""0.065"",""0.455"",""0.848""]","[1,1,1,0]",0,11,11,11,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.9554,"[""0.027"",""0.302"",""0.455"",""0.725""]","[1,0,1,1]",0,12,12,12,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.5191,"[""0.631"",""0.342"",""0.589"",""0.894""]","[0,1,1,1]",0,13,13,13,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.9275,"[""0.027"",""0.065"",""0.849"",""0.725""]","[1,1,0,1]",0,14,14,14,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.3685,"[""0.098"",""0.065"",""0.455"",""0.725""]","[0,1,1,1]",0,15,15,15,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.789,"[""0.240"",""0.630"",""0.589"",""0.894""]","[1,0,1,1]",0,16,16,16,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.144,"[""0.193"",""0.375"",""0.284"",""0.968""]","[1,1,0,1]",0,17,17,17,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.7257,"[""0.027"",""0.065"",""0.281"",""0.725""]","[1,1,0,1]",0,18,18,18,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.6921,"[""0.150"",""0.848"",""0.537"",""0.776""]","[1,0,1,1]",0,19,19,19,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.8363,"[""0.027"",""0.065"",""0.455"",""0.631""]","[1,1,1,0]",0,20,20,20,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.0528,"[""0.284"",""0.375"",""0.932"",""0.968""]","[0,1,1,1]",0,21,21,21,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,6.0958,"[""0.240"",""0.342"",""0.098"",""0.894""]","[1,1,0,1]",0,22,22,22,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.5627,"[""0.027"",""0.644"",""0.455"",""0.725""]","[1,0,1,1]",0,23,23,23,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.8216,"[""0.193"",""0.375"",""0.932"",""0.849""]","[1,1,1,0]",0,24,24,24,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.5705,"[""0.630"",""0.420"",""0.537"",""0.776""]","[0,1,1,1]",0,25,25,25,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.9391,"[""0.644"",""0.342"",""0.589"",""0.894""]","[0,1,1,1]",0,26,26,26,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.7751,"[""0.644"",""0.065"",""0.455"",""0.725""]","[0,1,1,1]",0,27,27,27,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.0535,"[""0.150"",""0.420"",""0.098"",""0.776""]","[1,1,0,1]",0,28,28,28,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.505,"[""0.150"",""0.420"",""0.537"",""0.302""]","[1,1,1,0]",0,29,29,29,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.8463,"[""0.193"",""0.824"",""0.932"",""0.968""]","[1,0,1,1]",0,30,30,30,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.2359,"[""0.240"",""0.342"",""0.589"",""0.286""]","[1,1,1,0]",0,31,31,31,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60bd4b684ae7e5aa8b9178fc,627c6f71a6de7b82bc23ca3c,2022-05-11_22h22.57.181,classification_task,2021.2.3,Win32,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,5.1084,"[""0.150"",""0.420"",""0.849"",""0.776""]","[1,1,0,1]",0,32,32,32,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
