usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,"[[""0.315"",""0.453"",""0.606"",""0.898""],[""0.275"",""0.368"",""0.863"",""0.937""]]","[[""0.061"",""0.192"",""0.494"",""0.736""],[""0.149"",""0.241"",""0.652"",""0.824""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Mount and Blade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,Do you have any form of color blindness?,,,0.7,0,No,33.4617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,36.4849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,space,236.7624,space,8.5149,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,space,16.8638,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,space,49.979,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,space,6.3877,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,space,9.2344,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,,,,,,,,space,16.3342,l,1,5.8015,"[""0.149"",""0.241"",""0.652"",""0.561""]","[1,1,1,0]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.562"",""0.453"",""0.606"",""0.898""]","[0,1,1,1]",0,1,1,1,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,,,,,,,,,,l,1,6.1369,"[""0.149"",""0.241"",""0.699"",""0.824""]","[1,1,0,1]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,,,,,,,,,,a,1,3.2874,"[""0.315"",""0.702"",""0.606"",""0.898""]","[1,0,1,1]",0,3,3,3,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d669c624894f3e21060cbf,001,2022-04-28_20h30.22.530,classification_task,2021.2.3,Win32,60.19744763,60d669c624894f3e21060cbf,626b377229c10585ec392f89,626b39b67fd5610a2c41f178,,,,,,,,,,,,,,,,,,,,,,,a,1,2.4648,"[""0.315"",""0.453"",""0.562"",""0.898""]","[1,1,0,1]",0,4,4,4,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
