usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,"[[""0.216"",""0.553"",""0.809"",""0.845""],[""0.321"",""0.355"",""0.882"",""0.933""]]","[[""0.041"",""0.178"",""0.513"",""0.676""],[""0.090"",""0.426"",""0.620"",""0.744""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,first person shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,27.9942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,41.1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,51.9256,space,12.6261,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,7.6353,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60d997ad83fe2612bd0ee817,627c67edeff37cdbda5947e1,2022-05-12_03h53.02.346,classification_task,2021.2.3,Win32,60.0024001,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,39.1834,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
