usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,"[[""0.162"",""0.376"",""0.646"",""0.872""],[""0.305"",""0.421"",""0.586"",""0.957""]]","[[""0.123"",""0.198"",""0.538"",""0.823""],[""0.027"",""0.233"",""0.464"",""0.770""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Fortnite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,Do you have any form of color blindness?,,,0.7,0,No,25.5281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,Yes,33.4079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,,,,,,,,space,37.8956,space,8.2614,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,,,,,,,,,,space,6.5898,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60da905f8fa5374e57b4ad71,001,2022-04-29_03h18.46.608,classification_task,2021.2.3,Win32,144.7178003,60da905f8fa5374e57b4ad71,626b377229c10585ec392f89,626b3abb5faa9641b2715a2b,,,,,,,,,,,,,,space,34.7487,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
