usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,"[[""0.222"",""0.562"",""0.881"",""0.965""],[""0.172"",""0.333"",""0.690"",""0.924""]]","[[""0.047"",""0.397"",""0.650"",""0.740""],[""0.122"",""0.278"",""0.527"",""0.827""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,League of legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,Do you have any form of color blindness?,,,0.7,0,No,58.5702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,62.7422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,,,,,,,,space,39.0384,space,14.2676,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,,,,,,,,,,space,9.8621,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60edd43c0e5888230cdd795f,001,2022-04-28_21h00.22.666,classification_task,2021.2.3,Win32,59.80145916,60edd43c0e5888230cdd795f,626b377229c10585ec392f89,626b4675cc0483e5ca12a7d4,,,,,,,,,,,,,,space,51.0294,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
