usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,"[[""0.272"",""0.482"",""0.895"",""0.973""],[""0.182"",""0.346"",""0.643"",""0.859""]]","[[""0.077"",""0.386"",""0.443"",""0.823""],[""0.033"",""0.126"",""0.571"",""0.749""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Sea of Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,Do you have any form of color blindness?,,,0.7,0,No,40.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,43.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,,,,,,,,space,35.863,space,14.495,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,,,,,,,,,,space,9.776,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,,,,,,,,,,space,27.419,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,,,,,,,,,,space,17.977,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f3103aaa4f64f02e5c5829,001,2022-04-29_03h20.04.353,classification_task,2021.2.3,Win32,74.96251874,60f3103aaa4f64f02e5c5829,626b377229c10585ec392f89,626b3d21f34aef7422496885,,,,,,,,,,,,,,space,19.181,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
