usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
TRUE,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,"[[""0.242"",""0.393"",""0.727"",""0.903""],[""0.284"",""0.432"",""0.681"",""0.959""]]","[[""0.133"",""0.206"",""0.475"",""0.764""],[""0.070"",""0.169"",""0.551"",""0.831""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Mario Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,Do you have any form of color blindness?,,,0.7,0,No,30.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,33.5141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,space,48.2545,space,8.2977,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,space,9.2049,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,space,23.8692,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,space,12.5153,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,space,13.2197,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,space,14.2688,a,0,2.6993,"[""0.070"",""0.169"",""0.551"",""0.591""]","[1,1,1,0]",0,0,0,0,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,a,1,1.4805,"[""0.284"",""0.432"",""0.681"",""0.591""]","[1,1,1,0]",0,1,1,1,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,l,1,2.0027,"[""0.035"",""0.206"",""0.475"",""0.764""]","[0,1,1,1]",0,2,2,2,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6344,"[""0.133"",""0.629"",""0.475"",""0.764""]","[1,0,1,1]",0,3,3,3,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,l,0,1.0339,"[""0.343"",""0.393"",""0.727"",""0.903""]","[0,1,1,1]",0,4,4,4,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,l,0,2.0602,"[""0.284"",""0.432"",""0.599"",""0.959""]","[1,1,0,1]",0,5,5,5,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8647,"[""0.242"",""0.393"",""0.028"",""0.903""]","[1,1,0,1]",0,6,6,6,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,a,1,1.5001,"[""0.242"",""0.320"",""0.727"",""0.903""]","[1,0,1,1]",0,7,7,7,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,a,0,1.1662,"[""0.133"",""0.206"",""0.599"",""0.764""]","[1,1,0,1]",0,8,8,8,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,a,0,1.3716,"[""0.070"",""0.169"",""0.588"",""0.831""]","[1,1,0,1]",0,9,9,9,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60f9bc5e07f83abc9cbc1c54,001,2022-04-28_20h12.16.226,classification_task,2021.2.3,MacIntel,59.99880002,60f9bc5e07f83abc9cbc1c54,626b377229c10585ec392f8a,626b3a195faa9641b2715a26,,,,,,,,,,,,,,,,,,,,,,,l,1,3.1255,"[""0.070"",""0.514"",""0.551"",""0.831""]","[1,0,1,1]",0,10,10,10,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
