usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,"[[""0.190"",""0.477"",""0.851"",""0.898""],[""0.302"",""0.369"",""0.934"",""0.969""]]","[[""0.126"",""0.426"",""0.543"",""0.694""],[""0.052"",""0.235"",""0.660"",""0.762""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Honkai Impact 3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,Do you have any form of color blindness?,,,0.7,0,No,61.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,63.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,space,24.221,space,7.955,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,23.655,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,69.449,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,10.863,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,20.911,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,343.919,a,0,8.891,"[""0.086"",""0.426"",""0.543"",""0.694""]","[0,1,1,1]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.052"",""0.601"",""0.660"",""0.762""]","[1,0,1,1]",0,1,1,1,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,8.067,"[""0.052"",""0.235"",""0.660"",""0.601""]","[1,1,1,0]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.668,"[""0.302"",""0.369"",""0.268"",""0.969""]","[1,1,0,1]",0,3,3,3,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,6.858,"[""0.190"",""0.477"",""0.086"",""0.898""]","[1,1,0,1]",0,4,4,4,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.587,"[""0.302"",""0.601"",""0.934"",""0.969""]","[1,0,1,1]",0,5,5,5,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.177,"[""0.816"",""0.369"",""0.934"",""0.969""]","[0,1,1,1]",0,6,6,6,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.106,"[""0.126"",""0.623"",""0.543"",""0.694""]","[1,0,1,1]",0,7,7,7,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,5.134,"[""0.190"",""0.621"",""0.851"",""0.898""]","[1,0,1,1]",0,8,8,8,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.201,"[""0.190"",""0.477"",""0.851"",""0.625""]","[1,1,1,0]",0,9,9,9,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.642,"[""0.610"",""0.235"",""0.660"",""0.762""]","[0,1,1,1]",0,10,10,10,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,3.348,"[""0.126"",""0.426"",""0.621"",""0.694""]","[1,1,0,1]",0,11,11,11,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.383,"[""0.052"",""0.235"",""0.614"",""0.762""]","[1,1,0,1]",0,12,12,12,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.628,"[""0.126"",""0.426"",""0.543"",""0.611""]","[1,1,1,0]",0,13,13,13,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,5.765,"[""0.302"",""0.369"",""0.934"",""0.614""]","[1,1,1,0]",0,14,14,14,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.989,"[""0.086"",""0.477"",""0.851"",""0.898""]","[0,1,1,1]",0,15,15,15,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,2.345,"[""0.126"",""0.426"",""0.614"",""0.694""]","[1,1,0,1]",0,16,16,16,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61028f3aebce0a1f0d72420e,627c6fe1a6de7b82bc23ca40,2022-05-12_04h29.48.646,classification_task,2021.2.3,Win32,29.9940012,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.053,"[""0.190"",""0.477"",""0.851"",""0.597""]","[1,1,1,0]",0,17,17,17,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
