usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,"[[""0.245"",""0.467"",""0.694"",""0.887""],[""0.282"",""0.515"",""0.846"",""0.933""]]","[[""0.115"",""0.316"",""0.559"",""0.798""],[""0.041"",""0.149"",""0.638"",""0.742""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,16.0878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,28.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,39.9392,space,8.7238,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,5.8218,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,18.9665,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,6.3395,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,10.641,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,17.2914,a,1,4.5695,"[""0.245"",""0.467"",""0.388"",""0.887""]","[1,1,0,1]",0,0,0,0,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.7349,"[""0.041"",""0.149"",""0.638"",""0.369""]","[1,1,1,0]",0,1,1,1,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,4.2353,"[""0.380"",""0.515"",""0.846"",""0.933""]","[0,1,1,1]",0,2,2,2,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,4.5207,"[""0.201"",""0.467"",""0.694"",""0.887""]","[0,1,1,1]",0,3,3,3,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.6511,"[""0.041"",""0.366"",""0.638"",""0.742""]","[1,0,1,1]",0,4,4,4,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,5.1191,"[""0.115"",""0.316"",""0.966"",""0.798""]","[1,1,0,1]",0,5,5,5,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,6.8383,"[""0.245"",""0.973"",""0.694"",""0.887""]","[1,0,1,1]",0,6,6,6,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,6.6028,"[""0.282"",""0.388"",""0.846"",""0.933""]","[1,0,1,1]",0,7,7,7,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,6.0526,"[""0.973"",""0.316"",""0.559"",""0.798""]","[0,1,1,1]",0,8,8,8,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,6.288,"[""0.397"",""0.149"",""0.638"",""0.742""]","[0,1,1,1]",0,9,9,9,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,5.0541,"[""0.282"",""0.515"",""0.846"",""0.966""]","[1,1,1,0]",0,10,10,10,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,7.3876,"[""0.115"",""0.967"",""0.559"",""0.798""]","[1,0,1,1]",0,11,11,11,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,5.9007,"[""0.115"",""0.316"",""0.559"",""0.973""]","[1,1,1,0]",0,12,12,12,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.704,"[""0.041"",""0.149"",""0.374"",""0.742""]","[1,1,0,1]",0,13,13,13,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,5.7204,"[""0.282"",""0.515"",""0.185"",""0.933""]","[1,1,0,1]",0,14,14,14,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,7.605,"[""0.245"",""0.467"",""0.694"",""0.185""]","[1,1,1,0]",0,15,15,15,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,6.7452,"[""0.282"",""0.515"",""0.201"",""0.933""]","[1,1,0,1]",0,16,16,16,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,7.8007,"[""0.282"",""0.430"",""0.846"",""0.933""]","[1,0,1,1]",0,17,17,17,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,5.1658,"[""0.369"",""0.515"",""0.846"",""0.933""]","[0,1,1,1]",0,18,18,18,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,6.5552,"[""0.041"",""0.149"",""0.366"",""0.742""]","[1,1,0,1]",0,19,19,19,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,5.1202,"[""0.041"",""0.149"",""0.638"",""0.594""]","[1,1,1,0]",0,20,20,20,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,7.0563,"[""0.245"",""0.467"",""0.694"",""0.185""]","[1,1,1,0]",0,21,21,21,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,6.3717,"[""0.245"",""0.467"",""0.594"",""0.887""]","[1,1,0,1]",0,22,22,22,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.6028,"[""0.115"",""0.316"",""0.201"",""0.798""]","[1,1,0,1]",0,23,23,23,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,9.8237,"[""0.041"",""0.185"",""0.638"",""0.742""]","[1,0,1,1]",0,24,24,24,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,4.8033,"[""0.245"",""0.201"",""0.694"",""0.887""]","[1,0,1,1]",0,25,25,25,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,5.9381,"[""0.115"",""0.316"",""0.559"",""0.388""]","[1,1,1,0]",0,26,26,26,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61079833b85c714f52d7b957,627c75baeeadcaf1f3da047e,2022-05-11_19h50.27.204,classification_task,2021.2.3,Win32,60.19020104,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,9.69,"[""0.430"",""0.149"",""0.638"",""0.742""]","[0,1,1,1]",0,27,27,27,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
