usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
TRUE,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,"[[""0.187"",""0.380"",""0.909"",""0.954""],[""0.280"",""0.478"",""0.702"",""0.867""]]","[[""0.075"",""0.427"",""0.584"",""0.833""],[""0.111"",""0.340"",""0.638"",""0.792""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Animal Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,24.3633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,26.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,28.0573,space,8.0926,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,7.7074,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,18.8408,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,8.5499,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.5277,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,20.0325,a,1,4.4199,"[""0.550"",""0.380"",""0.909"",""0.954""]","[0,1,1,1]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.5509,"[""0.075"",""0.427"",""0.758"",""0.833""]","[1,1,0,1]",0,1,1,1,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.3934,"[""0.111"",""0.340"",""0.638"",""0.519""]","[1,1,1,0]",0,2,2,2,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,5.2813,"[""0.546"",""0.427"",""0.584"",""0.833""]","[0,1,1,1]",0,3,3,3,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,4.8465,"[""0.280"",""0.478"",""0.702"",""0.539""]","[1,1,1,0]",0,4,4,4,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,3.5815,"[""0.280"",""0.223"",""0.702"",""0.867""]","[1,0,1,1]",0,5,5,5,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.9123,"[""0.075"",""0.758"",""0.584"",""0.833""]","[1,0,1,1]",0,6,6,6,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,4.0152,"[""0.187"",""0.380"",""0.909"",""0.232""]","[1,1,1,0]",0,7,7,7,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.7046,"[""0.232"",""0.478"",""0.702"",""0.867""]","[0,1,1,1]",0,8,8,8,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.7404,"[""0.758"",""0.340"",""0.638"",""0.792""]","[0,1,1,1]",0,9,9,9,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.55,"[""0.075"",""0.427"",""0.584"",""0.758""]","[1,1,1,0]",0,10,10,10,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,4.4663,"[""0.187"",""0.380"",""0.223"",""0.954""]","[1,1,0,1]",0,11,11,11,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.8454,"[""0.111"",""0.340"",""0.758"",""0.792""]","[1,1,0,1]",0,12,12,12,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,3.6762,"[""0.187"",""0.223"",""0.909"",""0.954""]","[1,0,1,1]",0,13,13,13,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6107a61bb8c7ec465a529c11,627c6f88297d3217c260433d,2022-05-11_21h24.03.447,classification_task,2021.2.3,Win32,60.0132029,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.7368,"[""0.111"",""0.520"",""0.638"",""0.792""]","[1,0,1,1]",0,14,14,14,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
